Package name,Reviewer name,Review,Rating
com.mcafee.security.safefamily,Srividhya B,Customer support kept transferring my ticket to 5 people n hung up I cannot see any rules icon on Android mobile app. Anyone here can support please.,1
com.mcafee.security.safefamily,Jeffrey Barber,Pa??? 😂😅😅,3
com.mcafee.security.safefamily,Nneji Eleazu,Ko fzfh,2
com.mcafee.security.safefamily,Eleonik 76,"Horrible App!!! Impossible to uninstall,and impossible to update!!! When app store will forbid such apps to even exist!!?? One must have the freedom to choose to remove or to keep certain apps on his own phone!!!",1
com.mcafee.security.safefamily,Katrina Pinto,Nonsense app.... Tum hare wajse phone lock,1
com.mcafee.security.safefamily,Jalane Lugo,TERRIBLE I HATE IT,1
com.mcafee.security.safefamily,Miguel Diaz,Requires McAfee account to do anything and comes preinstalled on my LG phone nags all the time.,1
com.mcafee.security.safefamily,Hrishikesh Apte,This is definition of word worst as we cant retrive our forgotten email ids and passwords,1
com.mcafee.security.safefamily,KY Lim,Misleading,1
com.mcafee.security.safefamily,Ilias Ntounis,"Lacking functions, not able to install to all laptops, parent mobile(s) location always visible to kids",2
com.mcafee.security.safefamily,I'm looking for Woody.!,"This app safe family is bestest parent monitor application because I am using it from 1 month, so till now I not face any issues but there are little bit battery drain problem with it because this app always works in background and monitor our kids phone, so we should manage it😊. I prefer this App to every parent those who wanted to monitor there child but they can't monitor because there personal works and job. You can see live location of your child and many more. Thank You McAfee❤️😊❤️😊🎉.!",5
com.mcafee.security.safefamily,jenapher-lee h,It takes up way to much storage on my phone since mum has downloaded it on my phone and ever since she has my phone has been playing up and all,1
com.mcafee.security.safefamily,Chishimba Nkole,Great,5
com.mcafee.security.safefamily,Amy Graham,"Frustrating Experience Downloaded the app and checked apps allowed for 12+ for my son. Well it blocked all of his favorites, including Roblox, which is rated 12+. I contacted tech support and was told I had not set up the restrictions yet so they sent me an email with instructions. I had already done everything in the email several times with the same results. Most user unfriendly software I've seen in a long time. Deleted it from all devices.",1
com.mcafee.security.safefamily,Abhijit Roy,"Unable to see activity logs of my child beyond 20 entries, which is not sufficient as children access apps very frequently and 20 entries crosses in 30mnts. And not actually logs beyond 20 entries. However, this issue was not there earlier. I am using Android 11 on OnePlus. Kindly resolve the issue and update. Regards, Abhijit",1
com.mcafee.security.safefamily,Emery Hayward,Wow it doesn't even work at all nor blocked any inporated website I click the check mark to block adult content and then I test it too see if it blocked the website and It didn't even blocked it what a trash app for old user or new customer I would not recommend using this app due to a unsafe app that doesn't blocked apps or some bad website and it puts your child lives at risk of protection.,1
com.mcafee.security.safefamily,Will Gomez,Hate it I don't like this for my child,1
com.mcafee.security.safefamily,Alan Tillman,"Temperamental at best. Installed on kids iPads. Set up all time limits and age limits etc. Age limits work fine but time limits regularly don't turn on at allocated time, or completely freeze leading to having to reinstall. Also be nice to be able to set an overall time limit. ""Pause"" works but then ""unpause"" doesn't. Faff to allow extra time outside of the schedules then, not surprisingly, it sticks. Had too many issues I've lost confidence in the app and looking for alternative.",2
com.mcafee.security.safefamily,C R,The app worked well until my children figured out how to stop it from working. Can't delete !,2
com.mcafee.security.safefamily,Mrs. P,was just able to uninstall app from her tab after 1 failed try! i already pay for yearly mcafee sub youre telling me this is separate? thats not right with as much as i pay you already the app also doesnt function i dont see updated usage data until a full 24 hours later & it doesnt pause her screen time it will show me that i paused it but on her end it does not ever turn on its useless & i wish this worked bc i really need to keep her safe & out of the big nasty net @ 9 years old! google it is,1
com.mcafee.security.safefamily,gaidis lazda,"Never installed and cant uninstall. I dont need this app, why im forced to have it?",1
com.mcafee.security.safefamily,Spensort family,Looks good but basically useless! All my kids get around the controls and still use the phones despite a minor annoyance effect. Apple phone not affected at all. It just removes all permissions for unused/open apps. Then again not even Google family link works. Lock out had no effect either on faughters android phone. Tjey are all iseless junk!,1
com.mcafee.security.safefamily,Stephen CK Tsang,"I wonder why there is no two-factor authentication available when logging onto my McAfee apps like this one. Why McAfee is still not providing 2-factor authentication for user accounts? Have been using McAfee Total Protection for 4 years now, but the log-in method is still the same. Please upgrade.",1
com.mcafee.security.safefamily,kiran bhatt,Worst app .,1
com.mcafee.security.safefamily,E. G,"Need more updates like personal password for parent so you don't have to use the same password for the unlock screen ,that's why the child can remove and install the app.",3
com.mcafee.security.safefamily,Richard Grandorge,"No good! I installed this on my phone to control and monitor my 8 year old's first PC using the installation wizard. At times it kind of works, but it fundamentally flawed. The timing system works intermittently, message that should be sent to my phone appear on the PC, my phones battery keeps draining and various other issues! The advertising for it is great, but it's a waste of money. It's a pity, but the good news is that Microsoft provides a better software solution for free with Windows!",2
com.mcafee.security.safefamily,Melvin Tan,Details: Android Parent Iphone child Lmao the pause screen lock app doesn't even work,1
com.mcafee.security.safefamily,Borsing Borsingterang,Thanks for the same for the same for the same for the same for the same for the same for the same for the time frame to be there for a little fun to see what you look like a little fun and get the same as last week and he said the government has decided,5
com.mcafee.security.safefamily,C A,"I have used other parental control apps and have never been as frustrated with an app that won't let you edit the things that matter. Please do not even try it. It deleted apps from my child's phone including itself and can not be reset. A ""help"" service that makes it hard to ask questions and harder to get useful answers. I'm going back to Google.",1
com.mcafee.security.safefamily,Kyanne Dailey,Works well in theory but it took my teen less than 3 minutes to uninstall it.,1
com.mcafee.security.safefamily,Kevin Burk,I riding in a van late at night going on family vacation. My daughters want to use their phones...I open safe family to extend their screen time and lo and behold nothing. Their phones are still locked. I try sending a permission request from their phones to extend time AND again NOTHING! I go online and context chat support and antoher big goose egg. I'm transferred 4 times when one tech finally tells me they can t help me via chat because a glitch is preventing transfer. Time to cancel sub...,1
com.mcafee.security.safefamily,Atikul Islam1474,Good,5
com.mcafee.security.safefamily,Lyla Ghatl,Layl,1
com.mcafee.security.safefamily,Mega Bear,"Can't access on second device, been trying for over an hour.",4
com.mcafee.security.safefamily,SHUBHAM SAURAV,Pathetic experience(I am a McAfee subscribed user). Configured admin and accessibility settings. Even then the app was not tracking the child's events. Even the custom rules for the website to block was of no use. Only the app blocking was working and that too stopped when restarted the phone... Just one suggestion to everyone go with Microsoft inbuilt family app....10000% better because the developer and company ignored this app b/c they get money from other...this can be said by their UI only,1
com.mcafee.security.safefamily,Cheryl Fossett,Horrible. Not user-friendly at all. The Verizon app is way better. I'm trying to delete my kid off the app and it won't even let me.,1
com.mcafee.security.safefamily,John Kegley,"May God help the child that relies on this app to be located!! Like ACTUALLY located. They will die if in a life/death situation of needing to be located! This app could find it's a#& with both hands or even 8 if it were an octopus. Do not install or even think that it has good features. It has yet to even show the correct address where my child sleeps or lives. Will NOT update if they are in a moving vehicle (I'm lying, it did once but was about 1/4 mile off the entire time it did update).",1
com.mcafee.security.safefamily,Tarek Istan,"Slowing down windows and almost useless, otherwise we need something really powerful for windows",2
com.mcafee.security.safefamily,Will,"User friendly enough. Just limited screen time and blocked apps making child's phone an alarm clock. Waited 5-10 minutes to verify and all games, apps, and search engines are still available. Promising but I'll Uninstall and go old school.",3
com.mcafee.security.safefamily,Linda Harlow,"Great app, BUT i get daily emails from scammers trying to say my subscriptipnnhas expired and a large amount is due. Some show a low price so its hard to tell what is due or not. Check your app, if running(working) ignore the scam email. Its NOT McAfee fault, i just wanted to warn everyone... Otherwise, its the GREATEST/SECURE APP EVER, WELL WORTH WHATEVER THEY CHARGE (which is currently $99 yr).",5
com.mcafee.security.safefamily,Ananthakrishnan Tharakesh,"Useless app. Doesnt get installed in most of the computers. Even after installing, doesnt open in most of the computers. Absolute waste of money.",1
com.mcafee.security.safefamily,Liviu Dascălu,"I cannot uninstall it after many tries. It doesn't show on Phone Administrators, but somehow it has admin superpowers. For me it's an awful piece of spyware.",1
com.mcafee.security.safefamily,MY CURIOUS WORLD,Bro same pinch I have your security maintainer provided by u in samsung galaxy j6 the app is best,5
com.mcafee.security.safefamily,Katczinsky,Get off my phone,1
com.mcafee.security.safefamily,Cassandra Grubbs,Sucks,1
com.mcafee.security.safefamily,Rabiatul Adawiah Ab. Aziz,I have given this app a one year chance. One year of stress and miscommunications with my children. This app does not work! Do not buy this and it is a total waste of money. Here is why! The device need you to allow accessibility (to block apps on the phone) and device management (to disable kids to uninstall the app)...but the kids can disable accessibility! They can still play games and enjoy the device! I tried to fix this... nope nothing works.,1
com.mcafee.security.safefamily,Chizzy (Chizzy),"I don't need a stupid icon in my notification tray telling me this app is running in the background, either it goes away or I'm deleting the app, why do I need to contact support cause you guys thought people would want another stupid icon in our notification tray?",1
com.mcafee.security.safefamily,Karl Weber,wonderful,5
com.mcafee.security.safefamily,Sheel Raxita,Not safe,1
com.mcafee.security.safefamily,Soxie Tem,Got it free with Optus. Terrible app. Takes too long to set anything up with the app freezing or simply not loading.,1
com.mcafee.security.safefamily,Sheridan Toms,Subpar! When we try to use it to block the children's screen time or limit apps it doesn't work. Sometimes it will be day or 2 later and randomly kick in and then we cannot reverse it to allow screen time. At times nothing at all will change. Very dissatisfied,1
com.mcafee.security.safefamily,Toine Van Der Kleijn,Can't even remove this,1
com.mcafee.security.safefamily,Dr.Md.Zohurul Islam SACMO,GOOD,5
com.mcafee.security.safefamily,Shafiqul Islam Shafi,Thanks for this app..,5
com.mcafee.security.safefamily,t M,Do not attempt to pause your kids iphone screentime it will screw up app order and remove them from folders. This has caused far bigger problems in my household than the screentime itself. If your kids are running ios than save both your money and your households sanity.,1
com.mcafee.security.safefamily,Dr. Jav,It installed on my phone by itself after my trial period has ended. Are you guys serious with this?,1
